IfcGUID,BLOCK_RFID,BLOCK_BUILDING,BLOCK_SCHEDULE,BLOCK_COLOR,BLOCK_LAYER,BLOCK_LENGTH,BLOCK_WIDTH
37dfUbgm9DQwO77uoSM6Zh,00000000000000000000000,0,1,Red,1,22,22
2tQH9P2Ob72uMNUR3T$rV_,050100000000000000001906,A,20,White,1,2,4
2tQH9P2Ob72uMNUR3T$rV$,040100000000000000004239,A,19,Blue,1,2,4
2tQH9P2Ob72uMNUR3T$rVu,040200000000000000008443,A,17,Gray,1,2,4
2tQH9P2Ob72uMNUR3T$rVv,040200000000000000001192,A,15,Gray,1,2,4
2tQH9P2Ob72uMNUR3T$rVw,040200000000000000001206,A,13,Gray,1,2,4
2tQH9P2Ob72uMNUR3T$rVx,050200000000000000001639,A,12,Yellow,1,2,4
2tQH9P2Ob72uMNUR3T$rU4,030200000000000000009720,A,14,Red,1,2,4
2tQH9P2Ob72uMNUR3T$rU5,010200000000000000004098,A,16,Green,1,2,4
2tQH9P2Ob72uMNUR3T$rU6,010200000000000000003082,A,18,Green,1,2,4
2tQH9P2Ob72uMNUR3T$rU7,020200000000000000009143,A,21,Blue,1,2,4
2tQH9P2Ob72uMNUR3T$rU0,020200000000000000004858,A,58,Blue,3,2,4
2tQH9P2Ob72uMNUR3T$rU1,030200000000000000009173,A,56,Red,3,2,4
2tQH9P2Ob72uMNUR3T$rU2,040200000000000000001329,A,54,Gray,3,2,4
2tQH9P2Ob72uMNUR3T$rU3,020200000000000000008831,A,52,Red,3,2,4
2tQH9P2Ob72uMNUR3T$rUC,050200000000000000008935,A,51,Yellow,3,2,4
2tQH9P2Ob72uMNUR3T$rUD,050200000000000000007077,A,53,Yellow,3,2,4
2tQH9P2Ob72uMNUR3T$rUE,030200000000000000008651,A,55,Red,3,2,4
2tQH9P2Ob72uMNUR3T$rUF,050200000000000000007878,A,57,Yellow,3,2,4
2tQH9P2Ob72uMNUR3T$rU8,020200000000000000000923,A,59,Blue,3,2,4
2tQH9P2Ob72uMNUR3T$rU9,020200000000000000005376,A,97,Blue,5,2,4
2tQH9P2Ob72uMNUR3T$rUA,020200000000000000002178,A,95,Blue,5,2,4
2tQH9P2Ob72uMNUR3T$rUB,050200000000000000006019,A,93,Yellow,5,2,4
2tQH9P2Ob72uMNUR3T$rUK,030200000000000000001916,A,91,Red,5,2,4
2tQH9P2Ob72uMNUR3T$rUL,050200000000000000007090,A,90,Yellow,5,2,4
2tQH9P2Ob72uMNUR3T$rUM,020200000000000000006096,A,92,Blue,5,2,4
2tQH9P2Ob72uMNUR3T$rUN,050200000000000000007747,A,94,Yellow,5,2,4
2tQH9P2Ob72uMNUR3T$rUG,050200000000000000005398,A,96,Yellow,5,2,4
2tQH9P2Ob72uMNUR3T$rUH,050200000000000000002347,A,98,Yellow,5,2,4
2tQH9P2Ob72uMNUR3T$rUI,020200000000000000002641,A,37,Blue,2,2,4
2tQH9P2Ob72uMNUR3T$rUJ,010200000000000000008550,A,39,Green,2,2,4
2tQH9P2Ob72uMNUR3T$rUS,010100000000000000003612,A,40,Green,2,2,2
2tQH9P2Ob72uMNUR3T$rUT,050200000000000000008081,A,35,Yellow,2,2,4
2tQH9P2Ob72uMNUR3T$rUU,020200000000000000007057,A,33,Blue,2,2,4
2tQH9P2Ob72uMNUR3T$rUV,010200000000000000002822,A,32,Green,2,2,4
2tQH9P2Ob72uMNUR3T$rUO,010200000000000000008047,A,38,Green,2,2,4
2tQH9P2Ob72uMNUR3T$rUP,020200000000000000003452,A,36,Blue,2,2,4
2tQH9P2Ob72uMNUR3T$rUQ,010200000000000000004455,A,34,Green,2,2,4
2tQH9P2Ob72uMNUR3T$rUR,030100000000000000004029,A,41,Red,2,2,2
2tQH9P2Ob72uMNUR3T$rUa,010200000000000000004715,A,75,Green,4,2,4
2tQH9P2Ob72uMNUR3T$rUb,030200000000000000008323,A,77,Red,4,2,4
2tQH9P2Ob72uMNUR3T$rUc,030200000000000000003798,A,78,Yellow,4,2,4
2tQH9P2Ob72uMNUR3T$rUd,030200000000000000002971,A,73,Red,4,2,4
2tQH9P2Ob72uMNUR3T$rUW,010200000000000000002621,A,71,Blue,4,2,4
2tQH9P2Ob72uMNUR3T$rUX,010200000000000000007113,A,70,Green,4,2,4
2tQH9P2Ob72uMNUR3T$rUY,040200000000000000004617,A,76,Gray,4,2,4
2tQH9P2Ob72uMNUR3T$rUZ,010200000000000000007411,A,74,Green,4,2,4
2tQH9P2Ob72uMNUR3T$rUi,010200000000000000003548,A,72,Green,4,2,4
2tQH9P2Ob72uMNUR3T$rUj,010200000000000000000305,A,79,Green,4,2,4
2tQH9P2Ob72uMNUR3T$rUg,040200000000000000008057,A,99,Gray,5,2,4
2tQH9P2Ob72uMNUR3T$rUh,040200000000000000003994,A,117,Gray,6,2,4
2tQH9P2Ob72uMNUR3T$rUq,050200000000000000006725,A,115,Yellow,6,2,4
2tQH9P2Ob72uMNUR3T$rUr,030200000000000000005402,A,113,Red,6,2,4
2tQH9P2Ob72uMNUR3T$rUs,020200000000000000008949,A,116,Blue,6,2,4
2tQH9P2Ob72uMNUR3T$rUt,010200000000000000002210,A,114,Green,6,2,4
2tQH9P2Ob72uMNUR3T$rUm,050200000000000000000790,A,112,Yellow,6,2,4
